% Model:              simple_edge.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 31 2023, 13:59
% Dimension:          2
% Nodes:              151
% Expressions:        10
% Description:        Electric potential
% Length unit:        nm
% x,y,V (V) @ Vtg=-12,V (V) @ Vtg=-11,V (V) @ Vtg=-10,V (V) @ Vtg=-9,V (V) @ Vtg=-8,V (V) @ Vtg=-7,V (V) @ Vtg=-6,V (V) @ Vtg=-5,V (V) @ Vtg=-4,V (V) @ Vtg=-3
0,0,-1.006544705154906,-1.0037964139141546,-1.0010481226733499,-0.9982998314323913,-0.9955515401911289,-0.9928032489485596,-0.990054957448658,-0.4999808823068423,1.468854974714609E-5,0.5000091792907675
4.000000000003223,0,-1.0065447051547176,-1.0037964139139735,-1.0010481226731731,-0.9982998314322109,-0.9955515401909293,-0.9928032489482739,-0.9900549574351035,-0.49998065446028234,1.4863609337310338E-5,0.5000092886904637
8.000000000003183,0,-1.0065447051541787,-1.0037964139134545,-1.0010481226726662,-0.9982998314316937,-0.995551540190357,-0.9928032489474546,-0.990054957396227,-0.4999799650453139,1.539330222348631E-5,0.5000096197105515
12.00000000000314,0,-1.0065447051532248,-1.003796413912536,-1.0010481226717687,-0.9982998314307775,-0.9955515401893426,-0.9928032489460008,-0.9900549573271182,-0.4999787980509778,1.628992998116943E-5,0.5000101800386318
16.000000000003094,0,-1.0065447051517622,-1.0037964139111275,-1.0010481226703933,-0.998299831429374,-0.9955515401877891,-0.9928032489437758,-0.9900549572214997,-0.49997712538293765,1.7575078116592903E-5,0.5000109831641015
20.00000000000306,0,-1.0065447051496539,-1.0037964139090976,-1.001048122668411,-0.9982998314273503,-0.9955515401855497,-0.9928032489405687,-0.9900549570692534,-0.499974907217135,1.9279344340937274E-5,0.5000120482083358
24.000000000003016,0,-1.0065447051467,-1.0037964139062536,-1.0010481226656334,-0.9982998314245154,-0.9955515401824123,-0.9928032489360753,-0.9900549568559373,-0.4999720906787791,2.1443353534364664E-5,0.5000134005589727
28.000000000002977,0,-1.0065447051426197,-1.003796413902325,-1.0010481226617967,-0.9982998314205995,-0.9955515401780785,-0.9928032489298685,-0.9900549565612582,-0.4999686085907312,2.411871938980489E-5,0.5000150724708708
32.00000000000292,0,-1.0065447051370258,-1.0037964138969389,-1.0010481226565364,-0.9982998314152307,-0.9955515401721367,-0.9928032489213584,-0.9900549561572246,-0.4999643779121338,2.7369244048957474E-5,0.5000171038157957
36.0000000000029,0,-1.0065447051293872,-1.0037964138895838,-1.0010481226493533,-0.9982998314078992,-0.9955515401640227,-0.9928032489097376,-0.9900549556054878,-0.4999592977531347,3.12724434336361E-5,0.500019543035642
40.000000000002856,0,-1.0065447051189789,-1.003796413879562,-1.0010481226395658,-0.9982998313979095,-0.995551540152967,-0.9928032488939034,-0.9900549548536841,-0.49995324696783144,3.592139664067673E-5,0.5000224482981737
44.000000000002814,0,-1.0065447051048129,-1.0037964138659226,-1.001048122626245,-0.9982998313843138,-0.9955515401379205,-0.9928032488723534,-0.9900549538305118,-0.49994608125984835,4.142696979158988E-5,0.5000258888867699
48.00000000000276,0,-1.0065447050855445,-1.0037964138473698,-1.0010481226081265,-0.9982998313658209,-0.9955515401174543,-0.9928032488430422,-0.9900549524387935,-0.49993762975808476,4.792044696086219E-5,0.5000299468445664
52.000000000002736,0,-1.006544705059345,-1.0037964138221438,-1.0010481225834902,-0.9982998313406762,-0.9955515400896269,-0.9928032488031888,-0.9900549505464871,-0.4999276909083131,5.555668675384977E-5,0.5000347189470914
56.00000000000269,0,-1.006544705023727,-1.0037964137878488,-1.0010481225499972,-0.9982998313064924,-0.9955515400517958,-0.9928032487490094,-0.9900549479737747,-0.4999160277117807,6.451778059363826E-5,0.5000403189884308
60.00000000000265,0,-1.00654470497531,-1.0037964137412307,-1.0010481225044694,-0.9982998312600251,-0.9955515400003709,-0.9928032486753615,-0.9900549444762475,-0.49990236202785393,7.501743012732126E-5,0.5000468805167948
64.00000000000261,0,-1.0065447049095004,-1.003796413677866,-1.001048122442587,-0.9982998311968654,-0.995551539930473,-0.9928032485752565,-0.9900549397215739,-0.4998863679729894,8.730601894291007E-5,0.5000545600039752
68.00000000000257,0,-1.0065447048200564,-1.0037964135917452,-1.0010481223584797,-0.9982998311110226,-0.9955515398354716,-0.9928032484391999,-0.9900549332580372,-0.49986766413082995,1.0167659772650702E-4,0.500063540585641
72.00000000000254,0,-1.0065447046984901,-1.0037964134746953,-1.0010481222441674,-0.9982998309943507,-0.9955515397063515,-0.9928032482542787,-0.9900549244707324,-0.4998458044853953,1.1847185049233937E-4,0.500074036414729
76.00000000000249,0,-1.006544704533264,-1.0037964133156079,-1.0010481220888003,-0.9982998308357778,-0.9955515395308603,-0.9928032480029484,-0.9900549125235987,-0.49982026773405724,1.3809230566329928E-4,0.5000862977927828
80.00000000000244,0,-1.006544704308688,-1.0037964130993755,-1.0010481218776253,-0.9982998306202449,-0.9955515392923331,-0.992803247661342,-0.9900548962773238,-0.49979044492513647,1.6100583437673912E-4,0.5001006171057042
84.0000000000024,0,-1.006544704003438,-1.0037964128054668,-1.0010481215905913,-0.9982998303272884,-0.9955515389681232,-0.9928032471970284,-0.9900548741808834,-0.49975562485722524,1.877588685115358E-4,0.5001173358342176
88.00000000000236,0,-1.0065447035885482,-1.0037964124059922,-1.0010481212004598,-0.9982998299291082,-0.9955515385274637,-0.992803246565943,-0.9900548441207631,-0.4997149771698233,2.1898939252326582E-4,0.5001368526728232
